Ranking,District,State,Population,Growth,Sex-Ratio,Literacy
454,Jhajjar,Haryana,"958,405",8.90%,862,80.65
455,Morigaon,Assam,"957,423",23.34%,967,68.03
456,Karbi Anglong,Assam,"956,313",17.58%,951,69.25
457,Nainital,Uttarakhand,"954,605",25.13%,934,83.88
458,Puducherry,Puducherry,"950,289",29.23%,1029,85.44
459,Baksa,Assam,"950,075",10.74%,974,69.25
460,Ramgarh,Jharkhand,"949,443",13.10%,921,73.17
461,Fatehabad,Haryana,"942,011",16.85%,902,67.92
462,Darrang,Assam,"928,500",22.19%,954,63.08
463,Mahendragarh,Haryana,"922,088",13.48%,895,77.72
464,Muktsar,Punjab,"901,896",16.00%,896,65.81
465,Pakur,Jharkhand,"900,422",28.33%,989,48.82
466,Rewari,Haryana,"900,332",17.64%,898,80.99
467,North Delhi,Delhi,"887,978",13.62%,869,86.85
468,Kokrajhar,Assam,"887,142",5.21%,959,65.22
469,South Tripura,Tripura,"876,001",14.15%,957,84.66
470,Mahoba,Uttar Pradesh,"875,958",23.64%,878,65.27
471,Kupwara,Jammu and Kashmir,"870,354",33.82%,835,64.51
472,Pratapgarh,Rajasthan,"867,848",22.78%,983,55.97
473,Jashpur,Chhattisgarh,"851,669",14.60%,1005,67.92
474,Sindhudurg,Maharashtra,"849,651",-2.21%,1036,85.56
475,Ashoknagar,Madhya Pradesh,"845,071",22.66%,904,
476,Udalguri,Assam,"831,668",9.61%,973,
477,Neemuch,Madhya Pradesh,,13.77%,954,70.8
478,,Meghalaya,"825,922",24.96%,1011,84.15
479,,Chhattisgarh,"822,526",40.71%,996,60.85
480,North Goa,Goa,"818,008",7.84%,963,89.57
481,Wayanad,Kerala,"817,420",4.71%,1035,89.03
482,Kapurthala,Punjab,"815,168",8.04%,912,79.07
483,Shimla,Himachal Pradesh,"814,010",12.67%,,83.64
484,Tapi,Gujarat,"807,022",12.14%,,68.26
485,Dhamtari,Chhattisgarh,"799,781",13.19%,,78.36
486,Jamtara,Jharkhand,"791,042",21.12%,954,64.59
487,Datia,Madhya Pradesh,"786,754",18.46%,873,72.63
488,Nalbari,Assam,"771,639",11.99%,949,78.63
489,Mansa,Punjab,,11.76%,883,61.83
490,Burhanpur,Madhya Pradesh,,19.37%,951,64.36
491,Ariyalur,Tamil Nadu,"754,894",8.54%,1015,71.34
492,Badgam,Jammu and Kashmir,"753,745",24.14%,894,56.08
493,Anuppur,Madhya Pradesh,"749,237",12.30%,976,67.88
494,Kanker,Chhattisgarh,"748,941",15.06%,1006,70.29
495,Bongaigaon,Assam,"738,804",20.59%,966,69.74
496,The Nilgiris,Tamil Nadu,"735,394",-3.51%,1042,85.2
497,Kandhamal,Orissa,"733,110",13.10%,1037,64.13
498,Alirajpur,Madhya Pradesh,"728,999",19.45%,1011,36.1
499,Latehar,Jharkhand,"726,978",29.61%,967,59.51
500,Kodarma,Jharkhand,"716,259",43.42%,950,66.84
501,Dindori,Madhya Pradesh,"704,524",21.32%,1002,63.9
502,Arwal,Bihar,"700,843",18.89%,928,67.43
503,North Tripura,Tripura,"693,947",17.44%,967,87.5
504,Sheopur,Madhya Pradesh,"687,861",22.94%,901,57.43
505,Pauri Garhwal,Uttarakhand,"687,271",-1.41%,1103,82.02
506,Dhemaji,Assam,"686,133",19.97%,953,72.7
507,Rupnagar,Punjab,"684,627",8.87%,915,82.19
508,,Rajasthan,"669,919",31.81%,852,57.22
509,,Assam,"659,296",21.45%,951,74.33
510,,Chhattisgarh,"658,917",12.38%,968,70.64
511,,Bihar,"656,246",27.19%,893,53.78
512,Umaria,Madhya Pradesh,"644,758",24.96%,950,65.89
513,West Garo Hills,Meghalaya,"643,291",24.09%,984,67.58
514,Rajouri,Jammu and Kashmir,"642,415",32.93%,860,68.17
515,South Goa,Goa,"640,537",8.73%,986,87.59
516,Sheikhpura,Bihar,"636,342",21.09%,930,63.86
517,Almora,Uttarakhand,"622,506",-1.28%,1139,80.47
518,Tehri Garhwal,Uttarakhand,"618,931",2.35%,1077,76.36
519,Faridkot,Punjab,"617,508",12.09%,890,69.55
520,Kathua,Jammu and Kashmir,,20.53%,890,73.09
521,Malkangiri,Orissa,,21.62%,1020,48.54
522,Shahid Bhagat Singh Nagar,Punjab,,,954,79.78
523,Nuapada,Orissa,"610,382",,1021,57.35
524,Subarnapur,Orissa,"610,183",,960,74.42
525,Fatehgarh Sahib,Punjab,"600,163",11.46%,871,79.35
526,Simdega,Jharkhand,"599,578",16.58%,997,
527,Barnala,Punjab,"595,527",13.02%,876,
528,Narmada,Gujarat,"590,297",14.75%,961,
529,Porbandar,Gujarat,"585,449",9.06%,950,75.78
530,Central Delhi,Delhi,"582,320",-9.91%,892,85.14
531,Solan,Himachal Pradesh,"580,320",15.93%,880,83.68
532,Jharsuguda,Orissa,"579,505",13.69%,953,78.86
533,Gajapati,Orissa,"577,817",11.37%,1043,53.49
534,Harda,Madhya Pradesh,"570,465",20.25%,935,72.5
535,Perambalur,Tamil Nadu,"565,223",14.50%,1003,74.32
536,Panchkula,Haryana,"561,293",19.83%,873,81.88
537,Pulwama,Jammu and Kashmir,"560,440",27.00%,912,63.48
538,Udhampur,Jammu and Kashmir,"554,985",20.78%,870,68.49
539,Kodagu,Karnataka,"554,519",1.09%,1019,82.61
540,Dantewada,Chhattisgarh,"533,638",12.08%,1020,42.12
541,Khunti,Jharkhand,"531,885",22.32%,997,63.86
542,Sirmaur,,"529,855",15.54%,918,78.8
543,Una,,"521,173",16.26%,976,86.53
544,Chamba,,"519,080",12.63%,986,72.17
545,Imphal West,Manipur,"517,992",16.56%,1031,86.08
546,Pithoragarh,Uttarakhand,"483,439",4.58%,1020,82.25
547,Chirang,Assam,"482,162",11.34%,969,63.55
548,Senapati,Manipur,"479,148",68.94%,937,63.6
549,Punch,Jammu and Kashmir,"476,835",27.97%,893,66.74
550,Lohardaga,Jharkhand,"461,790",26.68%,985,67.61
551,Imphal East,Manipur,"456,113",15.51%,1017,81.95
552,Hamirpur,Himachal Pradesh,"454,768",10.19%,1095,88.15
553,Baudh,Orissa,"441,162",18.16%,991,71.61
554,Kullu,Himachal Pradesh,"437,903",14.76%,942,79.4
555,Kulgam,Jammu and Kashmir,"424,483",7.73%,951,59.23
556,Thoubal,Manipur,"422,168",15.94%,1002,74.47
557,Doda,Jammu and Kashmir,"409,936",28.00%,919,64.68
558,Aizawl,Mizoram,"400,309",22.92%,1009,97.89
559,Jaintia Hills,Meghalaya,"395,124",32.10%,,61.64
560,Bandipora,Jammu and Kashmir,"392,232",28.65%,,56.28
561,Chamoli,Uttarakhand,"391,605",5.74%,,82.65
562,West Khasi Hills,Meghalaya,"383,461",29.53%,980,77.87
563,Bilaspur,Himachal Pradesh,"381,956",12.05%,981,84.59
564,Dimapur,Nagaland,"378,811",127.29%,919,84.79
565,Dhalai,Tripura,"378,230",22.85%,944,85.72
566,Dadra and Nagar Haveli,Dadra and Nagar Haveli,"343,709",55.88%,774,76.24
567,Uttarkashi,Uttarakhand,"330,086",11.89%,958,75.81
568,Samba,Jammu and Kashmir,"318,898",17.01%,886,81.41
569,East Garo Hills,Meghalaya,"317,917",26.87%,972,73.95
570,Reasi,Jammu and Kashmir,"314,667",27.04%,890,58.15
571,Debagarh,Orissa,"312,520",14.01%,975,72.57
572,Ganderbal,Jammu and Kashmir,"297,446",36.50%,874,58.04
573,Ramban,Jammu and Kashmir,"283,713",31.99%,902,54.27
574,East Sikkim,Sikkim,"283,583",15.73%,873,83.85
575,Churachandpur,Manipur,"274,143",20.29%,975,82.78
576,Kohima,Nagaland,"267,988",131.81%,928,85.23
577,Shupiyan,Jammu and Kashmir,"266,215",25.97%,951,60.76
578,Bageshwar,Uttarakhand,"259,898",4.18%,1090,80.01
579,Champawat,Uttarakhand,"259,648",15.63%,980,79.83
580,Ri Bhoi,Meghalaya,"258,840",34.26%,953,75.67
581,Bijapur,Chhattisgarh,"255,230",8.78%,984,40.86
582,Mon,Nagaland,"250,260",80.36%,899,56.99
583,Rudraprayag,Uttarakhand,"242,285",6.53%,1114,81.3
584,South Andaman,Andaman and Nicobar Islands,"238,142",14.23%,871,89.13
585,Bishnupur,Manipur,"237,399",13.93%,999,75.85
586,Kishtwar,Jammu and Kashmir,"230,696",20.88%,920,56.2
587,The Dangs,Gujarat,"228,291",22.26%,1006,75.16
588,Dima Hasao,Assam,"214,102",13.84%,932,77.54
589,Karaikal,Puducherry,"200,222",17.23%,1047,87.05
590,Tuensang,Nagaland,"196,596",94.83%,929,73.08
591,Mokokchung,Nagaland,"194,622",60.94%,925,91.62
592,Daman,Daman and Diu,"191,173",67.71%,534,88.07
593,Ukhrul,Manipur,"183,998",30.70%,943,81.35
594,Papumpare,Arunachal Pradesh,"176,573",,980,79.95
595,Wokha,Nagaland,"166,343",,968,87.69
596,Phek,Nagaland,"163,418",111.84%,951,78.05
597,Lunglei,Mizoram,"161,428",17.64%,947,88.86
598,Changlang,Arunachal Pradesh,"148,226",18.18%,926,59.8
599,South Sikkim,Sikkim,"146,850",11.65%,915,81.42
600,Lohit,Arunachal Pradesh,"145,726",16.59%,912,68.18
601,Chandel,Manipur,"144,182",21.85%,933,71.11
602,South Garo Hills,Meghalaya,"142,334",40.95%,945,71.72
603,New Delhi,Delhi,"142,004",-20.72%,822,88.34
604,Kargil,Jammu and Kashmir,"140,802",18.02%,810,71.34
605,Zunheboto,Nagaland,"140,757",78.05%,976,85.26
606,Tamenglong,Manipur,"140,651",26.15%,943,70.05
607,Narayanpur,Chhattisgarh,"139,820",19.16%,994,48.62
608,West Sikkim,Sikkim,"136,435",10.69%,942,77.39
609,Leh,,"133,487",13.87%,690,77.2
610,Champhai,,"125,745",16.01%,984,95.91
611,Lawngtlai,Mizoram,"117,894",60.14%,945,65.88
612,West Siang,Arunachal Pradesh,"112,274",8.04%,930,66.46
613,Tirap,Arunachal Pradesh,"111,975",11.61%,944,52.19
614,North and Middle Andaman,Andaman and Nicobar Islands,"105,597",-0.02%,925,83.91
615,East Siang,Arunachal Pradesh,"99,214",13.52%,980,72.54
616,Peren,Nagaland,"95,219",104.15%,915,77.95
617,Kurung Kumey,Arunachal Pradesh,"92,076",116.56%,1032,48.75
618,Mamit,Mizoram,"86,364",37.56%,927,84.93
619,Kinnaur,Himachal Pradesh,"84,121",7.39%,819,80
620,Kolasib,Mizoram,"83,955",27.28%,956,93.5
621,West Kameng,Arunachal Pradesh,"83,947",12.53%,819,67.07
622,Upper Subansiri,Arunachal Pradesh,"83,448",50.78%,998,63.8
623,Lower Subansiri,Arunachal Pradesh,"83,030",49.00%,984,74.35
624,East Kameng,Arunachal Pradesh,"78,690",37.62%,1029,60.02
625,Kiphire,Nagaland,"74,004",38.58%,956,69.54
626,Serchhip,Mizoram,"64,937",20.56%,977,97.91
627,Lakshadweep,Lakshadweep,"64,473",6.30%,946,91.85
628,Saiha,Mizoram,"56,574",-7.34%,979,90.01
629,Yanam,Puducherry,"55,626",77.19%,1038,79.47
630,Lower Dibang Valley,Arunachal Pradesh,"54,080",7.20%,928,69.13
631,Diu,Daman and Diu,"52,074",17.77%,1031,83.46
632,Longleng,Nagaland,"50,484",-21.57%,905,72.17
633,Tawang,Arunachal Pradesh,"49,977",28.40%,714,59
634,North Sikkim,Sikkim,"43,709",6.53%,767,78.01
635,Mahe,Puducherry,"41,816",13.54%,1184,97.87
636,Nicobars,Andaman and Nicobar Islands,"36,842",-12.42%,777,78.06
637,,Arunachal Pradesh,"35,320",5.87%,889,59.99
638,,Himachal Pradesh,"31,564",,903,76.81
639,,Arunachal Pradesh,"21,167",,839,56.46
640,,Arunachal Pradesh,"8,004",,813,64.1
